obsID,obsYear,month,day,species,class,order,indvdlC,fireID
102330,2012,5,26,Empidonax traillii,Aves,Passeriformes,1,1110
102413,2016,5,8,Colaptes chrysoides,Aves,Piciformes,1,1109
102727,2016,5,14,Riparia riparia,Aves,Passeriformes,2,409
103641,2018,4,10,Colaptes chrysoides,Aves,Piciformes,1,1109
103751,2019,7,20,Puma concolor,Mammalia,Carnivora,1,417
103830,2017,4,12,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,263
103830,2017,4,12,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,314
104064,2020,3,28,Bombus crotchii,Insecta,Hymenoptera,1,263
104083,2020,2,21,Uma inornata,Reptilia,Squamata,1,78
104502,2010,2,25,Agelaius tricolor,Aves,Passeriformes,50,512
106676,2015,5,25,Colaptes chrysoides,Aves,Piciformes,1,1109
106858,2011,7,7,Melanerpes uropygialis,Aves,Piciformes,2,368
107091,2011,4,17,Agelaius tricolor,Aves,Passeriformes,150,418
107532,2012,4,15,Colaptes chrysoides,Aves,Piciformes,1,1109
107987,1973,6,25,Colaptes chrysoides,Aves,Piciformes,1,1109
108433,2019,7,11,Anaxyrus californicus,Amphibia,Anura,1,73
108579,2020,12,22,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,331
108752,2016,1,30,Buteo swainsoni,Aves,Accipitriformes,1,929
108767,2015,12,3,Haliaeetus leucocephalus,Aves,Accipitriformes,3,873
109074,2019,5,11,Empidonax traillii,Aves,Passeriformes,1,1109
109163,2019,10,28,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
109402,2021,5,22,Puma concolor,Mammalia,Carnivora,1,417
109412,2018,11,3,Puma concolor,Mammalia,Carnivora,1,417
109666,2018,2,17,Puma concolor,Mammalia,Carnivora,1,417
109826,2009,11,26,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,82
110172,2021,3,7,Gopherus agassizii,Reptilia,Testudines,1,400
110254,2019,11,15,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
111414,2000,7,4,Colaptes chrysoides,Aves,Piciformes,1,1109
111621,2016,4,24,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
111762,2021,1,1,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
111984,2015,1,31,Ammospermophilus nelsoni,Mammalia,Rodentia,1,935
112301,2018,5,22,Anaxyrus californicus,Amphibia,Anura,1,512
113507,2017,12,2,Puma concolor,Mammalia,Carnivora,1,417
114442,2002,6,25,Buteo swainsoni,Aves,Accipitriformes,1,351
114461,2002,6,10,Empidonax traillii,Aves,Passeriformes,1,332
114544,2012,12,21,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,505
