County,FIPS,MapDate,DSCI
Fresno County,6019,20141230,500
Fresno County,6019,20150106,500
Fresno County,6019,20150113,500
Fresno County,6019,20150120,500
Fresno County,6019,20150127,500
Fresno County,6019,20150203,500
Fresno County,6019,20150210,500
Fresno County,6019,20150217,500
Fresno County,6019,20150224,500
Fresno County,6019,20150303,500
Fresno County,6019,20150310,500
Fresno County,6019,20150317,500
Fresno County,6019,20150324,500
Fresno County,6019,20150331,500
Fresno County,6019,20150407,500
Fresno County,6019,20150414,500
Fresno County,6019,20150421,500
Fresno County,6019,20150428,500
Fresno County,6019,20150505,500
Fresno County,6019,20150512,500
Fresno County,6019,20150519,500
Fresno County,6019,20150526,500
Fresno County,6019,20150602,500
Fresno County,6019,20150609,500
Fresno County,6019,20150616,500
Fresno County,6019,20150623,500
Fresno County,6019,20150630,500
Fresno County,6019,20150707,500
Fresno County,6019,20150714,500
Fresno County,6019,20150721,500
Fresno County,6019,20150728,500
Fresno County,6019,20150804,500
Fresno County,6019,20150811,500
Fresno County,6019,20150818,500
Fresno County,6019,20150825,500
Fresno County,6019,20150901,500
Fresno County,6019,20150908,500
Fresno County,6019,20150915,500
Fresno County,6019,20150922,500
Fresno County,6019,20150929,500
Fresno County,6019,20151006,500
Fresno County,6019,20151013,500
Fresno County,6019,20151020,500
Fresno County,6019,20151027,500
Fresno County,6019,20151103,500
Fresno County,6019,20151110,500
Fresno County,6019,20151117,500
Fresno County,6019,20151124,500
Fresno County,6019,20151201,500
Fresno County,6019,20151208,500
Fresno County,6019,20151215,500
Fresno County,6019,20151222,500
Fresno County,6019,20151229,500
Fresno County,6019,20160105,500
Fresno County,6019,20160112,500
Fresno County,6019,20160119,500
Fresno County,6019,20160126,500
Fresno County,6019,20160202,500
Fresno County,6019,20160209,500
Fresno County,6019,20160216,500
Fresno County,6019,20160223,500
Fresno County,6019,20160301,500
Fresno County,6019,20160308,500
Fresno County,6019,20160315,500
Fresno County,6019,20160322,500
Fresno County,6019,20160329,500
Fresno County,6019,20160405,500
Fresno County,6019,20160412,500
Fresno County,6019,20160419,461
Fresno County,6019,20160426,461
Fresno County,6019,20160503,461
Fresno County,6019,20160510,461
Fresno County,6019,20160517,461
Fresno County,6019,20160524,461
Fresno County,6019,20160531,461
Fresno County,6019,20160607,461
Fresno County,6019,20160614,461
Fresno County,6019,20160621,461
Fresno County,6019,20160628,461
Fresno County,6019,20160705,461
Fresno County,6019,20160712,461
Fresno County,6019,20160719,461
Fresno County,6019,20160726,461
Fresno County,6019,20160802,461
Fresno County,6019,20160809,461
Fresno County,6019,20160816,461
Fresno County,6019,20160823,461
Fresno County,6019,20160830,461
Fresno County,6019,20160906,461
Fresno County,6019,20160913,461
Fresno County,6019,20160920,461
Fresno County,6019,20160927,461
Fresno County,6019,20161004,461
Fresno County,6019,20161011,461
Fresno County,6019,20161018,461
Fresno County,6019,20161025,461
Fresno County,6019,20161101,461
Fresno County,6019,20161108,461
Fresno County,6019,20161115,461
Fresno County,6019,20161122,461
Fresno County,6019,20161129,461
Fresno County,6019,20161206,461
