FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
55020,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
55068,Buteo swainsoni,Aves,Accipitriformes,2019,3,30,-118.39457,34.72747,1,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
55171,Melanerpes uropygialis,Aves,Piciformes,2020,4,26,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
55631,Melanerpes uropygialis,Aves,Piciformes,2013,5,11,-114.45647,32.878094,5,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
56640,Agelaius tricolor,Aves,Passeriformes,2010,2,14,-120.03971,35.353077,100,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
56698,Empidonax traillii,Aves,Passeriformes,2013,8,5,-114.535,34.76573,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
56743,Melanerpes uropygialis,Aves,Piciformes,2002,10,5,-114.46656,32.88192,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
56931,Buteo swainsoni,Aves,Accipitriformes,2019,6,5,-118.93234,34.945312,4,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,2000,3679
56975,Melanerpes uropygialis,Aves,Piciformes,2017,1,24,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
57057,Buteo swainsoni,Aves,Accipitriformes,2019,4,8,-121.00014,37.05678,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
57316,Melanerpes uropygialis,Aves,Piciformes,2015,10,29,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
57351,Melanerpes uropygialis,Aves,Piciformes,2018,5,22,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
