obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
178973,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-120.87656,36.641083,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
178987,Buteo swainsoni,Aves,Accipitriformes,2016,4,15,-115.847496,33.444992,1,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,5000,16175
179016,Melanerpes uropygialis,Aves,Piciformes,2013,2,28,-114.52483,34.781944,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,5000,16707
179055,Melanerpes uropygialis,Aves,Piciformes,2017,6,24,-114.6192,32.731518,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179086,Agelaius tricolor,Aves,Passeriformes,2012,3,11,-119.55688,34.89762,40,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
179120,Melanerpes uropygialis,Aves,Piciformes,2016,10,22,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179238,Melanerpes uropygialis,Aves,Piciformes,2020,11,11,-114.68413,32.699966,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,5000,14318
179239,Buteo swainsoni,Aves,Accipitriformes,2010,8,14,-121.15935,37.433174,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,5000,68965
179247,Haliaeetus leucocephalus,Aves,Accipitriformes,1979,4,11,-120.783,36.8635,NA,HUMAN_OBSERVATION,DOS AMIGOS,2005,746.0347,721,5000,17217
179306,Melanerpes uropygialis,Aves,Piciformes,2020,10,12,-114.6066,32.720795,4,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179330,Melanerpes uropygialis,Aves,Piciformes,2016,1,2,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179336,Melanerpes uropygialis,Aves,Piciformes,2016,1,6,-114.61296,32.72587,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179403,Melanerpes uropygialis,Aves,Piciformes,2016,1,9,-114.587006,32.806213,6,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179417,Agelaius tricolor,Aves,Passeriformes,2017,2,19,-120.62001,37.182293,10,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
179421,Melanerpes uropygialis,Aves,Piciformes,2017,1,25,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179449,Agelaius tricolor,Aves,Passeriformes,2014,12,29,-120.62203,37.167942,100,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
179487,Melanerpes uropygialis,Aves,Piciformes,2019,3,30,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
179512,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-120.87656,36.641083,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
179554,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,7,22,-121.17095,37.064518,4,HUMAN_OBSERVATION,COTTONWOOD2,2008,796.5697,939,5000,6841
179609,Gymnogyps californianus,Aves,Accipitriformes,2020,12,19,-119.37666,34.90416,3,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
179736,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,3,3,-120.62203,37.167942,3,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
179824,Puma concolor,Mammalia,Carnivora,2020,9,25,-116.602926,33.120198,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
179828,Ammospermophilus nelsoni,Mammalia,Rodentia,2018,12,30,-119.815,35.042825,NA,HUMAN_OBSERVATION,COTTON,2010,2037.958,1092,5000,17931
179895,Puma concolor,Mammalia,Carnivora,2013,12,22,-116.430788,33.202183,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
179979,Uma inornata,Reptilia,Squamata,2018,2,18,-116.540033,33.970183,NA,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,5000,8965
180064,Bombus crotchii,Insecta,Hymenoptera,2019,7,27,-117.751744,34.392164,NA,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,5000,35447
180078,Puma concolor,Mammalia,Carnivora,2021,4,17,-116.55226,33.033593,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
180464,Buteo swainsoni,Aves,Accipitriformes,2018,3,11,-120.613625,37.177318,NA,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
180752,Puma concolor,Mammalia,Carnivora,2020,10,13,-116.60309,33.119995,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
180864,Gymnogyps californianus,Aves,Accipitriformes,2020,6,16,-119.443492,34.897059,NA,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
180864,Gymnogyps californianus,Aves,Accipitriformes,2020,6,16,-119.443492,34.897059,NA,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,5000,10997
180864,Gymnogyps californianus,Aves,Accipitriformes,2020,6,16,-119.443492,34.897059,NA,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
180872,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2005,1,15,-116.538922,33.257656,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
180886,Melanerpes uropygialis,Aves,Piciformes,2015,5,17,-114.589205,32.80423,NA,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
180934,Ammospermophilus nelsoni,Mammalia,Rodentia,2019,6,4,-119.636027,35.008412,NA,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,5000,18451
180993,Empidonax traillii,Aves,Passeriformes,2017,9,30,-117.91143,34.50152,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,5000,35447
181015,Melanerpes uropygialis,Aves,Piciformes,2019,3,26,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
181036,Agelaius tricolor,Aves,Passeriformes,2010,4,16,-120.62203,37.167942,NA,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
181045,Melanerpes uropygialis,Aves,Piciformes,2019,3,24,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
181081,Buteo swainsoni,Aves,Accipitriformes,2020,11,23,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
181113,Gymnogyps californianus,Aves,Accipitriformes,2015,4,30,-119.37666,34.90416,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
181123,Melanerpes uropygialis,Aves,Piciformes,2016,8,1,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
181156,Haliaeetus leucocephalus,Aves,Accipitriformes,2002,2,23,-120.62203,37.167942,NA,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
181258,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,9,10,-121.06447,37.02791,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,5000,4436
181258,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,9,10,-121.06447,37.02791,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,5000,11639
181258,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,9,10,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5000,5692
181258,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,9,10,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,5000,4760
181280,Empidonax traillii,Aves,Passeriformes,2019,5,21,-114.6066,32.720795,6,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
